restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Episode 23,Anna Nagar East,800,4.1,490,3.8,699
Krishnavillasam - The Home Of Classics,Adyar,850,3,499,3.5,863
The Kandyan,Besant Nagar,450,4.4,482,4.5,1704
Famous Theory,"Hotel Centre Point, Sholinganallur",1200,3.9,492,3.7,536
Nungambakkam Chaat Corner,Nungambakkam,200,4.1,511,3.5,2669
R&R @ OMR Food Plaza,Sholinganallur,600,None,Does not offer Dining,3.2,26400
The Kitchen - The Raintree,"The Raintree, Teynampet",3000,4.3,479,None,Does not offer Delivery
Hotel Sennthur,Thousand Lights,450,4.1,507,4.1,22400
China Town,Gopalapuram,1200,4.1,468,4.3,637
Pally Tastee Fast Food,Perambur,850,3.9,198,4,4475
The Mayflower,T. Nagar,1000,4.2,436,3.8,115
Novelty Tea House,Sowcarpet,300,4.2,383,3.9,743
Locofeast,Nungambakkam,800,4,400,3.7,61
Inzy’s Garden Restaurant,Egatoor,650,4,348,3.3,3726
Wok Monk,Anna Nagar West,1200,4.6,459,3.9,659
Broken Bridge Cafe,Somerset Greenways,1200,4.3,444,3.9,29
Firdouse,Triplicane,800,3.7,528,4.5,5228
Indiska Magic,Chetpet,400,4.2,291,4.1,645
Anjappar,Porur,700,3.4,324,3.9,1240
Menaka - Hotel Palmgrove,"Hotel Palmgrove, Nungambakkam",600,4.2,480,None,Not enough Delivery Reviews
Ilapuram Biryani,Porur,700,3.7,459,2.8,3640
The Leather Bar - The Park,"The Park, Nungambakkam",3000,4.3,564,None,Does not offer Delivery
The Potroast,Porur,600,3.3,459,2.7,6070
Top Notch,Anna Nagar East,1300,4.1,566,3.7,7294
Aegam,Selaiyur,500,4.4,447,None,Not enough Delivery Reviews
The Bombay Fries,Nungambakkam,500,4.2,452,None,Does not offer Delivery
Savya Rasa,Kotturpuram,1600,4.4,443,3.9,132
Southern Spice - Taj Coromandel,"Taj Coromandel, Nungambakkam",3000,4.7,432,None,Does not offer Delivery
Winterfell,Velachery,400,4.2,391,3.9,215
Bombaysthan,Adyar,450,4.1,441,4.2,3101
Swiss Hutte,Thousand Lights,1100,4.1,440,None,Does not offer Delivery
Underbelly,Anna Nagar West,1000,4.1,430,3.7,379
Coffee Central,T. Nagar,500,4.3,436,None,Does not offer Delivery
196 Degree Below,Alwarpet,450,4,438,4,107
Zing Wing Restaurant,Avadi,350,4,350,4.1,3712
Nammaa Kitchen,Taramani,600,4.2,450,3.8,5693
Kefi - Taj Club House,"Taj Club House, Thousand Lights",3000,4.3,424,None,Does not offer Delivery
